epoch,lr-AdamW,step,test_acc,test_f1,test_loss,test_precision,test_recall,train_acc,train_f1,train_loss,train_precision,train_recall,val_acc,val_f1,val_loss,val_precision,val_recall
24,,99,,,,,,0.9224137663841248,0.8909566402435303,1.0895864963531494,0.8966739773750305,0.907212495803833,,,,,
,0.001,100,,,,,,,,,,,,,,,
25,,103,,,,,,,,,,,0.5,0.38631314039230347,2.452399969100952,0.39510101079940796,0.3994949460029602
25,,103,,,,,,0.9568965435028076,0.9389097690582275,1.024819016456604,0.9418860077857971,0.9473684430122375,,,,,
,0.001,104,,,,,,,,,,,,,,,
26,,107,,,,,,,,,,,0.4333333373069763,0.36088889837265015,2.614591360092163,0.35847222805023193,0.4188888967037201
26,,107,,,,,,0.9655172228813171,0.9359993934631348,0.9782124161720276,0.9386825561523438,0.9435844421386719,,,,,
,0.001,108,,,,,,,,,,,,,,,
27,,111,,,,,,,,,,,0.5333333015441895,0.3936363458633423,2.4209930896759033,0.41340914368629456,0.4214646518230438
27,,111,,,,,,0.9741379022598267,0.9605262875556946,0.9454569220542908,0.9637061953544617,0.9633771777153015,,,,,
,0.001,112,,,,,,,,,,,,,,,
28,,115,,,,,,,,,,,0.5666666626930237,0.4660317599773407,2.454336404800415,0.4928836226463318,0.5166666507720947
28,,115,,,,,,0.9741379022598267,0.9530555605888367,0.9264324903488159,0.9534722566604614,0.9555555582046509,,,,,
,0.001,116,,,,,,,,,,,,,,,
29,,119,,,,,,,,,,,0.4999999701976776,0.44305557012557983,2.7843010425567627,0.46319445967674255,0.47527778148651123
29,,119,,,,,,0.9913793206214905,0.9929824471473694,0.911781370639801,0.9934210181236267,0.9956139922142029,,,,,
,0.001,120,,,,,,,,,,,,,,,
30,,123,,,,,,,,,,,0.5666666626930237,0.45068785548210144,2.2596354484558105,0.4621957540512085,0.4859788119792938
30,,123,,,,,,0.9913793206214905,0.9841269850730896,0.9088887572288513,0.9826388955116272,0.9861111640930176,,,,,
,0.001,124,,,,,,,,,,,,,,,
31,,127,,,,,,,,,,,0.5333333015441895,0.4229292571544647,2.369086980819702,0.43977272510528564,0.45075756311416626
31,,127,,,,,,0.9913793206214905,0.9814814925193787,0.8775583505630493,0.9791667461395264,0.9861111044883728,,,,,
,0.001,128,,,,,,,,,,,,,,,
32,,131,,,,,,,,,,,0.5333333015441895,0.4572857618331909,2.259824514389038,0.47236114740371704,0.4925000071525574
32,,131,,,,,,1.0,1.0,0.8641892671585083,1.0,1.0,,,,,
,0.001,132,,,,,,,,,,,,,,,
33,,135,,,,,,,,,,,0.4999999701976776,0.4253333508968353,2.243940591812134,0.4422500431537628,0.45916667580604553
33,,135,,,,,,1.0,1.0,0.8459876775741577,1.0,1.0,,,,,
,0.001,136,,,,,,,,,,,,,,,
34,,139,,,,,,,,,,,0.5666666626930237,0.4660317599773407,2.30820894241333,0.4928836226463318,0.5166666507720947
34,,139,,,,,,1.0,1.0,0.8266773819923401,1.0,1.0,,,,,
,0.001,140,,,,,,,,,,,,,,,
35,,143,,,,,,,,,,,0.5333333015441895,0.4561678171157837,2.3333942890167236,0.4859788119792938,0.5013227462768555
35,,143,,,,,,0.982758641242981,0.9551657438278198,0.8454184532165527,0.959795355796814,0.9528509378433228,,,,,
,0.001,144,,,,,,,,,,,,,,,
36,,147,,,,,,,,,,,0.46666666865348816,0.3472108840942383,2.2975833415985107,0.3720899522304535,0.3835979104042053
36,,147,,,,,,1.0,1.0,0.813732922077179,1.0,1.0,,,,,
,0.001,148,,,,,,,,,,,,,,,
37,,151,,,,,,,,,,,0.5333333015441895,0.43841272592544556,2.280984401702881,0.46679896116256714,0.4629630148410797
37,,151,,,,,,1.0,1.0,0.8054212331771851,1.0,1.0,,,,,
,0.001,152,,,,,,,,,,,,,,,
38,,155,,,,,,,,,,,0.5333333015441895,0.4138624966144562,2.3197274208068848,0.4130952060222626,0.4629630148410797
38,,155,,,,,,1.0,1.0,0.80833500623703,1.0,1.0,,,,,
,0.001,156,,,,,,,,,,,,,,,
39,,159,,,,,,,,,,,0.6333333253860474,0.5482832193374634,2.06919264793396,0.551432728767395,0.6014620065689087
39,,159,,,,,,1.0,1.0,0.7891739010810852,1.0,1.0,,,,,
,0.001,160,,,,,,,,,,,,,,,
40,,163,,,,,,,,,,,0.5666666626930237,0.4626399278640747,2.141850471496582,0.4700292646884918,0.5081871747970581
40,,163,,,,,,0.9913793206214905,0.9925925731658936,0.7995725870132446,0.993055522441864,0.9953703284263611,,,,,
,0.001,164,,,,,,,,,,,,,,,
41,,167,,,,,,,,,,,0.46666666865348816,0.4000529646873474,2.302171468734741,0.43611112236976624,0.4246031641960144
41,,167,,,,,,0.9913793206214905,0.9938775300979614,0.792965292930603,0.9940476417541504,0.9955357313156128,,,,,
,0.001,168,,,,,,,,,,,,,,,
42,,171,,,,,,,,,,,0.5333333015441895,0.41868484020233154,2.305349826812744,0.4130952060222626,0.4629630148410797
42,,171,,,,,,1.0,1.0,0.7883013486862183,1.0,1.0,,,,,
,0.001,172,,,,,,,,,,,,,,,
43,,175,,,,,,,,,,,0.4999999701976776,0.4046190679073334,2.312851905822754,0.3987500071525574,0.45111116766929626
43,,175,,,,,,1.0,1.0,0.7784726619720459,1.0,1.0,,,,,
,0.001,176,,,,,,,,,,,,,,,
44,,179,,,,,,,,,,,0.6000000238418579,0.5270844101905823,2.2789218425750732,0.5293859839439392,0.5845029950141907
44,,179,,,,,,1.0,1.0,0.7758599519729614,1.0,1.0,,,,,
,0.001,180,,,,,,,,,,,,,,,
45,,183,,,,,,,,,,,0.6000000238418579,0.5285379886627197,2.1603610515594482,0.532777726650238,0.5845029950141907
45,,183,,,,,,1.0,1.0,0.7672123312950134,1.0,1.0,,,,,
,0.001,184,,,,,,,,,,,,,,,
46,,187,,,,,,,,,,,0.5666666626930237,0.47340017557144165,2.211261510848999,0.4790935814380646,0.5257309675216675
46,,187,,,,,,1.0,1.0,0.7588235139846802,1.0,1.0,,,,,
,0.001,188,,,,,,,,,,,,,,,
47,,191,,,,,,,,,,,0.5,0.40388891100883484,2.2065749168395996,0.3918055593967438,0.46833333373069763
47,,191,,,,,,1.0,1.0,0.769944429397583,1.0,1.0,,,,,
,0.001,192,,,,,,,,,,,,,,,
48,,195,,,,,,,,,,,0.6000000238418579,0.47477778792381287,2.1378519535064697,0.493075430393219,0.5247222781181335
48,,195,,,,,,0.982758641242981,0.9772709608078003,0.7705956697463989,0.9769298434257507,0.9812865257263184,,,,,
,0.001,196,,,,,,,,,,,,,,,
49,,199,,,,,,,,,,,0.5,0.41593390703201294,2.2845051288604736,0.42402783036231995,0.4602777659893036
49,,199,,,,,,1.0,1.0,0.7482690215110779,1.0,1.0,,,,,
,0.001,200,,,,,,,,,,,,,,,
50,,203,,,,,,,,,,,0.5666666626930237,0.46557143330574036,2.243290424346924,0.47236114740371704,0.5086110830307007
50,,203,,,,,,1.0,1.0,0.7360792756080627,1.0,1.0,,,,,
,0.001,204,,,,,,,,,,,,,,,
51,,207,,,,,,,,,,,0.6000000238418579,0.5391979813575745,2.076777935028076,0.5463449954986572,0.5845029950141907
51,,207,,,,,,0.9913793206214905,0.9841269850730896,0.7681700587272644,0.9826388955116272,0.9861111044883728,,,,,
,0.001,208,,,,,,,,,,,,,,,
52,,211,,,,,,,,,,,0.5666666626930237,0.4728153645992279,2.053088426589966,0.48698827624320984,0.5081871747970581
52,,211,,,,,,1.0,1.0,0.7375415563583374,1.0,1.0,,,,,
,0.001,212,,,,,,,,,,,,,,,
53,,215,,,,,,,,,,,0.6666666865348816,0.5692397356033325,2.1274709701538086,0.5717836618423462,0.6269006133079529
53,,215,,,,,,1.0,1.0,0.738960325717926,1.0,1.0,,,,,
,0.001,216,,,,,,,,,,,,,,,
54,,219,,,,,,,,,,,0.6000000238418579,0.5406515598297119,2.0802102088928223,0.5497369170188904,0.5845029950141907
